target_tokens	swiss-ai_Apertus-8B-2509_revision	swiss-ai_Apertus-8B-2509_tokens	allenai_OLMo-2-1124-7B_revision	allenai_OLMo-2-1124-7B_tokens
210000000000	step50000-tokens210B	210000000000	stage1-step50000-tokens210B	210000000000
625111111111	step150000-tokens630B	630000000000	stage1-step149000-tokens625B	625000000000
1040222222222	step250000-tokens1050B	1050000000000	stage1-step248000-tokens1041B	1041000000000
1455333333333	step350000-tokens1470B	1470000000000	stage1-step347000-tokens1456B	1456000000000
1870444444444	step450000-tokens1890B	1890000000000	stage1-step446000-tokens1871B	1871000000000
2285555555556	step550000-tokens2310B	2310000000000	stage1-step545000-tokens2286B	2286000000000
2700666666667	step650000-tokens2730B	2730000000000	stage1-step644000-tokens2702B	2702000000000
3115777777778	step750000-tokens3150B	3150000000000	stage1-step743000-tokens3117B	3117000000000
3530888888889	step850000-tokens3570B	3570000000000	stage1-step842000-tokens3532B	3532000000000
3946000000000	step950000-tokens3990B	3990000000000	stage2-ingredient1-step11931-tokens50B	3946000000000
