model_slug,display,include_macro_acc_include_base_44,include_micro_acc_include_base_44,bits_per_byte,nll_bits_per_char,mean_token_nll_nats,mean_line_nll_nats,mean_line_logprob_bits,pud_mean_line_logprob_bits,pud_mean_line_nll_bits,pud_median_line_nll_bits,pud_n_parallel_ids,pud_n_lines
gpt2,GPT-2,0.2621738314425249,0.2597287866071823,2.617580573375597,3.803306452773932,3.4748242687185,263.5538380347358,-380.2278151399664,-365.37392698625814,365.37392698625814,354.1876863275509,100,2100
gpt2xl,GPT-2 XL,0.25901641389001445,0.25646009099341843,2.2040039270151044,3.2023856086101947,2.925803473574312,221.9124407923663,-320.1519778427126,-302.3177753594993,302.3177753594993,291.470517127226,100,2100
llama27b,Llama-2-7B,0.27719987467113805,0.2786342152921949,1.223599898230599,1.7778728326030402,2.231903784564828,123.19943564591584,-177.7392148466818,-170.03849184722165,170.03849184722165,157.58684444819846,100,2100
llama318b,Llama-3.1-8B,0.4892738699864392,0.49171783205972,1.053206800307196,1.53029414278854,2.872445163309466,106.04322834933244,-152.98803965943787,-148.77482495554844,148.77482495554844,141.74577838740964,100,2100
llama318binstr,Llama-3.1-8B-Instruct,0.5276448220454819,0.5305446353637528,1.086622095124298,1.5788460795242776,2.963579783737238,109.40768226058395,-157.8419206324999,-152.910934536569,152.910934536569,145.8108483783202,100,2100
olmo211247b,OLMo-2-1124-7B,0.33767575768049185,0.33800079508812225,1.3046946643860726,1.895702346827912,2.6091620952571013,131.364547001874,-189.5189805082288,-181.09239136602125,181.09239136602125,169.9446647052516,100,2100
apertus8b,Apertus-8B,0.530881664482015,0.5337249878528204,0.9694340342051686,1.4085735336415666,2.9584968048090565,97.60847976755213,-140.81926970935817,-138.30074455911108,138.30074455911108,132.2945364747207,100,2100
apertus8binstr,Apertus-8B-Instruct,0.5501040299380464,0.5508193824815584,1.1908231872287562,1.730248748851053,3.634127202267384,119.89927821406611,-172.9780940855993,-169.78850197385594,169.78850197385594,165.77640512382334,100,2100
nemo,Mistral-Nemo-Instruct-2407,0.5216739954860268,0.5250673616325809,1.2005663200062775,1.744405378885632,3.6638610739637287,120.88027572914406,-174.39337433572666,-166.66802826544156,166.66802826544156,157.92825064807923,100,2100
aya238b,Aya-23-8B,0.4012979413352192,0.4027563054905252,1.2632468223749385,1.8354792359988104,3.5900456283908464,127.19132767430058,-183.49829767979665,-172.03372427218727,172.03372427218727,157.8946025864032,100,2100
eurollm9b,EuroLLM-9B,0.4325779042645221,0.43257211007553337,1.11214019688581,1.6159235097586186,2.997272728306591,111.97699902852376,-161.54866119207952,-149.1892748406973,149.1892748406973,136.22178920025829,100,2100
eurollm9binstr,EuroLLM-9B-Instruct,0.4777544418493802,0.4781129908564866,1.1680501839688129,1.6971599067620813,3.1344977228183803,117.60635456014562,-169.67010450095125,-155.95829796279153,155.95829796279153,141.28146925763866,100,2100
