Model,0 macro,0 micro,5en macro,5en micro,5og macro,5og micro,BPB,bpc,tok NLL,PUD+UD line logp,PUD+UD line NLL,PUD line logp,PUD line NLL,PUD med line NLL
GPT-2 \citep{radford2019gpt2},26.2,26.0,--,--,--,--,2.62,3.80,3.47,-380.2,263.6,-365.4,365.4,354.2
GPT-2-XL,25.9,25.6,--,--,--,--,2.20,3.20,2.93,-320.2,221.9,-302.3,302.3,291.5
Llama-2-7B \citep{touvron2023llama2},27.7,27.9,--,--,--,--,1.22,1.78,2.23,-177.7,123.2,-170.0,170.0,157.6
Llama-3.1-8B \citep{grattafiori2024llama3herdmodels},48.9,49.2,--,--,--,--,1.05,1.53,2.87,-153.0,106.0,-148.8,148.8,141.7
Llama-3.1-8B-Instruct,52.8,53.1,--,--,--,--,1.09,1.58,2.96,-157.8,109.4,-152.9,152.9,145.8
OLMo-2-1124-7B \citep{walsh2025olmo2},33.8,33.8,--,--,--,--,1.30,1.90,2.61,-189.5,131.4,-181.1,181.1,169.9
Apertus-8B \citep{apertus2025apertus},53.1,53.4,--,--,--,--,0.97,1.41,2.96,-140.8,97.6,-138.3,138.3,132.3
Apertus-8B-Instruct,55.0,55.1,--,--,--,--,1.19,1.73,3.63,-173.0,119.9,-169.8,169.8,165.8
Mistral-Nemo-Instruct-2407 \citep{mistralai2024mistralnemo},52.2,52.5,--,--,--,--,1.20,1.74,3.66,-174.4,120.9,-166.7,166.7,157.9
Aya-23-8B \citep{aryabumi2024aya23},40.1,40.3,--,--,--,--,1.26,1.84,3.59,-183.5,127.2,-172.0,172.0,157.9
EuroLLM-9B \citep{martins2025eurollm},43.3,43.3,--,--,--,--,1.11,1.62,3.00,-161.5,112.0,-149.2,149.2,136.2
EuroLLM-9B-Instruct,47.8,47.8,--,--,--,--,1.17,1.70,3.13,-169.7,117.6,-156.0,156.0,141.3
