Model,INCLUDE 0 macro,PUD line NLL,BPB
Apertus-8B-Instruct,\textbf{55.0},169.8,1.19
Apertus-8B \citep{apertus2025apertus},\underline{53.1},\textbf{138.3},\textbf{0.97}
Llama-3.1-8B-Instruct,52.8,152.9,1.09
Mistral-Nemo-Instruct-2407 \citep{mistralai2024mistralnemo},52.2,166.7,1.20
Llama-3.1-8B \citep{grattafiori2024llama3herdmodels},48.9,\underline{148.8},\underline{1.05}
EuroLLM-9B-Instruct,47.8,156.0,1.17
EuroLLM-9B \citep{martins2025eurollm},43.3,149.2,1.11
Aya-23-8B \citep{aryabumi2024aya23},40.1,172.0,1.26
OLMo-2-1124-7B \citep{walsh2025olmo2},33.8,181.1,1.30
Llama-2-7B \citep{touvron2023llama2},27.7,170.0,1.22
GPT-2 \citep{radford2019gpt2},26.2,365.4,2.62
GPT-2-XL,25.9,302.3,2.20
