model_slug,display_model,include_macro_acc,include_micro_acc,include_n_langs,include_n_examples,bits_per_byte,nll_bits_per_char,mean_token_nll_nats,pud_mean_line_nll_bits,pud_n_parallel_ids,pud_n_lines
gpt2,GPT-2,0.2621738314425249,0.2597287866071823,44,22639,2.617580573375597,3.803306452773932,3.4748242687185,365.37392698625814,100,2100
gpt2xl,GPT-2 XL,0.25901641389001445,0.25646009099341843,44,22639,2.2040039270151044,3.2023856086101947,2.925803473574312,302.3177753594993,100,2100
llama27b,Llama-2-7B,0.27719987467113805,0.2786342152921949,44,22639,1.223599898230599,1.7778728326030402,2.231903784564828,170.03849184722165,100,2100
llama318b,Llama-3.1-8B,0.4892738699864392,0.49171783205972,44,22639,1.053206800307196,1.53029414278854,2.872445163309466,148.77482495554844,100,2100
llama318binstr,Llama-3.1-8B-Instruct,0.5276448220454819,0.5305446353637528,44,22639,1.086622095124298,1.5788460795242776,2.963579783737238,152.910934536569,100,2100
olmo211247b,OLMo-2-1124-7B,0.33767575768049185,0.33800079508812225,44,22639,1.3046946643860726,1.895702346827912,2.6091620952571013,181.09239136602125,100,2100
apertus8b,Apertus-8B,0.530881664482015,0.5337249878528204,44,22639,0.9694340342051686,1.4085735336415666,2.9584968048090565,138.30074455911108,100,2100
apertus8binstr,Apertus-8B-Instruct,0.5501040299380464,0.5508193824815584,44,22639,1.1908231872287562,1.730248748851053,3.634127202267384,169.78850197385594,100,2100
nemo,Mistral-Nemo-Instruct-2407,0.5216739954860268,0.5250673616325809,44,22639,1.2005663200062775,1.744405378885632,3.6638610739637287,166.66802826544156,100,2100
aya238b,Aya-23-8B,0.4012979413352192,0.4027563054905252,44,22639,1.2632468223749385,1.8354792359988104,3.5900456283908464,172.03372427218727,100,2100
eurollm9b,EuroLLM-9B,0.4325779042645221,0.43257211007553337,44,22639,1.11214019688581,1.6159235097586186,2.997272728306591,149.1892748406973,100,2100
eurollm9binstr,EuroLLM-9B-Instruct,0.4777544418493802,0.4781129908564866,44,22639,1.1680501839688129,1.6971599067620813,3.1344977228183803,155.95829796279153,100,2100
